group,function,value,sample_time_nanos,iteration_count
[6d87c1b] 1+1 10000 times,,8192,49427663.0,69713790
[6d87c1b] 1+1 10000 times,,8192,200991255.0,139427580
[6d87c1b] 1+1 10000 times,,8192,283663107.0,209141370
[6d87c1b] 1+1 10000 times,,8192,386454465.0,278855160
[6d87c1b] 1+1 10000 times,,8192,491974799.0,348568950
[6d87c1b] 1+1 10000 times,,8192,587528360.0,418282740
[6d87c1b] 1+1 10000 times,,8192,659958987.0,487996530
[6d87c1b] 1+1 10000 times,,8192,763292690.0,557710320
[6d87c1b] 1+1 10000 times,,8192,857252332.0,627424110
[6d87c1b] 1+1 10000 times,,8192,978486877.0,697137900
