group,function,value,sample_time_nanos,iteration_count
[6d87c1b] 1+1 10000 times,,4096,59503030.0,70105405
[6d87c1b] 1+1 10000 times,,4096,198303383.0,140210810
[6d87c1b] 1+1 10000 times,,4096,286893469.0,210316215
[6d87c1b] 1+1 10000 times,,4096,391200011.0,280421620
[6d87c1b] 1+1 10000 times,,4096,507758702.0,350527025
[6d87c1b] 1+1 10000 times,,4096,592803328.0,420632430
[6d87c1b] 1+1 10000 times,,4096,678441696.0,490737835
[6d87c1b] 1+1 10000 times,,4096,788258138.0,560843240
[6d87c1b] 1+1 10000 times,,4096,902609475.0,630948645
[6d87c1b] 1+1 10000 times,,4096,961953005.0,701054050
