group,function,value,sample_time_nanos,iteration_count
[6d87c1b] 1+1 10000 times,,32768,51228835.0,69548643
[6d87c1b] 1+1 10000 times,,32768,191018517.0,139097286
[6d87c1b] 1+1 10000 times,,32768,298338782.0,208645929
[6d87c1b] 1+1 10000 times,,32768,383915634.0,278194572
[6d87c1b] 1+1 10000 times,,32768,473811586.0,347743215
[6d87c1b] 1+1 10000 times,,32768,565223548.0,417291858
[6d87c1b] 1+1 10000 times,,32768,673368808.0,486840501
[6d87c1b] 1+1 10000 times,,32768,759619723.0,556389144
[6d87c1b] 1+1 10000 times,,32768,858212681.0,625937787
[6d87c1b] 1+1 10000 times,,32768,952008110.0,695486430
